"run_type_id","distance_category_id","elevation_category_id","weather_category_id","run_type_name","vibe_description"
"RUN_0001","DIST_01","ELEV_01","WXCAT_01","Frozen Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0002","DIST_01","ELEV_01","WXCAT_02","Chilly Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0003","DIST_01","ELEV_01","WXCAT_03","Crisp Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0004","DIST_01","ELEV_01","WXCAT_04","Damp Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0005","DIST_01","ELEV_01","WXCAT_05","Dry Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0006","DIST_01","ELEV_01","WXCAT_06","Swampy Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0007","DIST_01","ELEV_01","WXCAT_07","Toasty Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0008","DIST_01","ELEV_01","WXCAT_08","Slick Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0009","DIST_01","ELEV_01","WXCAT_09","Sweaty Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0010","DIST_01","ELEV_01","WXCAT_10","Molten Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0011","DIST_01","ELEV_01","WXCAT_11","Desert Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0012","DIST_01","ELEV_01","WXCAT_12","Windy Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0013","DIST_01","ELEV_01","WXCAT_13","Stormy Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0014","DIST_01","ELEV_01","WXCAT_14","Foggy Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0015","DIST_01","ELEV_01","WXCAT_15","Perfect Flat Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0016","DIST_01","ELEV_02","WXCAT_01","Frozen Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0017","DIST_01","ELEV_02","WXCAT_02","Chilly Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0018","DIST_01","ELEV_02","WXCAT_03","Crisp Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
"RUN_0019","DIST_01","ELEV_02","WXCAT_04","Damp Rolling Quick","Auto-generated based on distance, elevation, and weather vibes."
